WARNING 2023-11-06 03:31:27,099 log Not Found: /Core/Skin/Login.aspx
WARNING 2023-11-06 03:41:55,229 log Not Found: /robots.txt
WARNING 2023-11-06 04:28:40,595 log Not Found: /thornleigh/
WARNING 2023-11-06 04:28:42,844 log Not Found: //wp-includes/ID3/license.txt
WARNING 2023-11-06 04:28:43,010 log Not Found: //feed/
WARNING 2023-11-06 04:28:43,339 log Not Found: //xmlrpc.php
WARNING 2023-11-06 04:28:43,505 log Not Found: //blog/wp-includes/wlwmanifest.xml
WARNING 2023-11-06 04:28:43,746 log Not Found: //web/wp-includes/wlwmanifest.xml
WARNING 2023-11-06 04:28:43,913 log Not Found: //wordpress/wp-includes/wlwmanifest.xml
WARNING 2023-11-06 04:28:44,080 log Not Found: //wp/wp-includes/wlwmanifest.xml
WARNING 2023-11-06 04:28:44,281 log Not Found: //2020/wp-includes/wlwmanifest.xml
WARNING 2023-11-06 04:28:44,448 log Not Found: //2019/wp-includes/wlwmanifest.xml
WARNING 2023-11-06 04:28:44,803 log Not Found: //2021/wp-includes/wlwmanifest.xml
WARNING 2023-11-06 04:28:44,970 log Not Found: //shop/wp-includes/wlwmanifest.xml
WARNING 2023-11-06 04:28:45,136 log Not Found: //wp1/wp-includes/wlwmanifest.xml
WARNING 2023-11-06 04:28:45,327 log Not Found: //test/wp-includes/wlwmanifest.xml
WARNING 2023-11-06 04:28:45,493 log Not Found: //site/wp-includes/wlwmanifest.xml
WARNING 2023-11-06 04:28:45,676 log Not Found: //cms/wp-includes/wlwmanifest.xml
WARNING 2023-11-06 04:55:54,324 log Not Found: /robots.txt
ERROR 2023-11-06 04:56:31,478 exception Invalid HTTP_HOST header: 'ec2-54-206-144-94.ap-southeast-2.compute.amazonaws.com'. You may need to add 'ec2-54-206-144-94.ap-southeast-2.compute.amazonaws.com' to ALLOWED_HOSTS.
WARNING 2023-11-06 04:56:31,479 log Bad Request: /
WARNING 2023-11-06 04:57:46,674 log Not Found: /robots.txt
WARNING 2023-11-06 05:04:48,934 log Not Found: /Core/Skin/Login.aspx
WARNING 2023-11-06 05:27:23,506 log Not Found: /robots.txt
WARNING 2023-11-06 05:27:28,432 log Not Found: /shop/nl/product/moncler-jas-heren-half-lengte-met-kap-koffie/
WARNING 2023-11-06 05:38:32,429 log Not Found: /robots.txt
WARNING 2023-11-06 05:42:16,769 log Not Found: /.env
WARNING 2023-11-06 05:42:17,997 log Forbidden (Referer checking failed - no Referer.): /
WARNING 2023-11-06 05:47:59,375 log Not Found: /robots.txt
WARNING 2023-11-06 06:01:23,814 log Not Found: /easygo-shuttle-chartered-bus/
WARNING 2023-11-06 06:17:23,273 log Not Found: /shop/da/product-category/moncler-handtasker-salg/
WARNING 2023-11-06 06:37:53,699 log Not Found: /Core/Skin/Login.aspx
WARNING 2023-11-06 07:15:43,147 log Not Found: /price-booking/
WARNING 2023-11-06 07:21:43,576 log Not Found: /robots.txt
ERROR 2023-11-06 07:41:25,707 exception Invalid HTTP_HOST header: '/run/gunicorn.sock:'. The domain name provided is not valid according to RFC 1034/1035.
WARNING 2023-11-06 07:41:25,709 log Bad Request: /
ERROR 2023-11-06 07:41:25,801 exception Invalid HTTP_HOST header: 'ec2-54-206-144-94.ap-southeast-2.compute.amazonaws.com'. You may need to add 'ec2-54-206-144-94.ap-southeast-2.compute.amazonaws.com' to ALLOWED_HOSTS.
WARNING 2023-11-06 07:41:25,804 log Bad Request: /
ERROR 2023-11-06 07:41:25,806 exception Invalid HTTP_HOST header: 'ec2-54-206-144-94.ap-southeast-2.compute.amazonaws.com'. You may need to add 'ec2-54-206-144-94.ap-southeast-2.compute.amazonaws.com' to ALLOWED_HOSTS.
WARNING 2023-11-06 07:41:25,808 log Bad Request: /CSS/Miniweb.css
ERROR 2023-11-06 07:41:25,810 exception Invalid HTTP_HOST header: 'ec2-54-206-144-94.ap-southeast-2.compute.amazonaws.com'. You may need to add 'ec2-54-206-144-94.ap-southeast-2.compute.amazonaws.com' to ALLOWED_HOSTS.
WARNING 2023-11-06 07:41:25,811 log Bad Request: /3awQ
ERROR 2023-11-06 07:41:25,813 exception Invalid HTTP_HOST header: 'ec2-54-206-144-94.ap-southeast-2.compute.amazonaws.com'. You may need to add 'ec2-54-206-144-94.ap-southeast-2.compute.amazonaws.com' to ALLOWED_HOSTS.
ERROR 2023-11-06 07:41:25,814 exception Invalid HTTP_HOST header: 'ec2-54-206-144-94.ap-southeast-2.compute.amazonaws.com'. You may need to add 'ec2-54-206-144-94.ap-southeast-2.compute.amazonaws.com' to ALLOWED_HOSTS.
WARNING 2023-11-06 07:41:25,816 log Bad Request: /
WARNING 2023-11-06 07:41:25,817 log Bad Request: /.git/HEAD
ERROR 2023-11-06 07:41:25,818 exception Invalid HTTP_HOST header: '/run/gunicorn.sock:'. The domain name provided is not valid according to RFC 1034/1035.
WARNING 2023-11-06 07:41:25,820 log Bad Request: /
ERROR 2023-11-06 07:41:25,822 exception Invalid HTTP_HOST header: 'ec2-54-206-144-94.ap-southeast-2.compute.amazonaws.com'. You may need to add 'ec2-54-206-144-94.ap-southeast-2.compute.amazonaws.com' to ALLOWED_HOSTS.
WARNING 2023-11-06 07:41:25,823 log Bad Request: /localstart.html
ERROR 2023-11-06 07:41:25,824 exception Invalid HTTP_HOST header: 'ec2-54-206-144-94.ap-southeast-2.compute.amazonaws.com'. You may need to add 'ec2-54-206-144-94.ap-southeast-2.compute.amazonaws.com' to ALLOWED_HOSTS.
ERROR 2023-11-06 07:41:25,826 exception Invalid HTTP_HOST header: 'ec2-54-206-144-94.ap-southeast-2.compute.amazonaws.com'. You may need to add 'ec2-54-206-144-94.ap-southeast-2.compute.amazonaws.com' to ALLOWED_HOSTS.
WARNING 2023-11-06 07:41:25,827 log Bad Request: /sdk
WARNING 2023-11-06 07:41:25,827 log Bad Request: /Portal0000.htm
ERROR 2023-11-06 07:41:25,988 exception Invalid HTTP_HOST header: 'ec2-54-206-144-94.ap-southeast-2.compute.amazonaws.com'. You may need to add 'ec2-54-206-144-94.ap-southeast-2.compute.amazonaws.com' to ALLOWED_HOSTS.
ERROR 2023-11-06 07:41:25,990 exception Invalid HTTP_HOST header: 'ec2-54-206-144-94.ap-southeast-2.compute.amazonaws.com'. You may need to add 'ec2-54-206-144-94.ap-southeast-2.compute.amazonaws.com' to ALLOWED_HOSTS.
WARNING 2023-11-06 07:41:25,992 log Bad Request: /__Additional
WARNING 2023-11-06 07:41:25,994 log Bad Request: /
ERROR 2023-11-06 07:41:25,995 exception Invalid HTTP_HOST header: 'ec2-54-206-144-94.ap-southeast-2.compute.amazonaws.com'. You may need to add 'ec2-54-206-144-94.ap-southeast-2.compute.amazonaws.com' to ALLOWED_HOSTS.
WARNING 2023-11-06 07:41:25,996 log Bad Request: /robots.txt
ERROR 2023-11-06 07:41:25,998 exception Invalid HTTP_HOST header: 'ec2-54-206-144-94.ap-southeast-2.compute.amazonaws.com'. You may need to add 'ec2-54-206-144-94.ap-southeast-2.compute.amazonaws.com' to ALLOWED_HOSTS.
WARNING 2023-11-06 07:41:26,001 log Bad Request: /
ERROR 2023-11-06 07:41:26,027 exception Invalid HTTP_HOST header: 'ec2-54-206-144-94.ap-southeast-2.compute.amazonaws.com'. You may need to add 'ec2-54-206-144-94.ap-southeast-2.compute.amazonaws.com' to ALLOWED_HOSTS.
WARNING 2023-11-06 07:41:26,030 log Bad Request: /scripts/WPnBr.dll
ERROR 2023-11-06 07:41:26,031 exception Invalid HTTP_HOST header: 'ec2-54-206-144-94.ap-southeast-2.compute.amazonaws.com'. You may need to add 'ec2-54-206-144-94.ap-southeast-2.compute.amazonaws.com' to ALLOWED_HOSTS.
ERROR 2023-11-06 07:41:26,033 exception Invalid HTTP_HOST header: 'ec2-54-206-144-94.ap-southeast-2.compute.amazonaws.com'. You may need to add 'ec2-54-206-144-94.ap-southeast-2.compute.amazonaws.com' to ALLOWED_HOSTS.
