region,zone,name,distance_km,price,is_active
Brisbane,Eastern,Belmont,15.79,60.00,True
Brisbane,Eastern,Carina Heights,19.76,60.00,True
Brisbane,Eastern,Holland Park,23.80,60.00,True
Brisbane,Eastern,Holland Park West,22.94,60.00,True
Brisbane,Eastern,Lota,19.93,60.00,True
Brisbane,Eastern,Manly,19.95,60.00,True
Brisbane,Eastern,Wynnum,19.78,60.00,True
Brisbane,Far North,Caboolture,48.84,130.00,True
Brisbane,Far North,Dakabin,35.17,112.00,True
Brisbane,Far North,Deception Bay,36.59,118.00,True
Brisbane,Far North,Griffin,27.21,115.00,True
Brisbane,Far North,Kallangur,28.22,110.00,True
Brisbane,Far North,Mango Hill,29.26,112.00,True
Brisbane,Far North,Morayfield,46.72,122.00,True
Brisbane,Far North,Narangba,40.23,115.00,True
Brisbane,Far North,North Lakes,34.98,115.00,True
Brisbane,Far South,Kingston,36.46,122.00,True
Brisbane,Far South,Loganholme,41.83,120.00,True
Brisbane,Far South,Meadowbrook,36.30,120.00,True
Brisbane,Far South,Rochedale,23.44,112.00,True
Brisbane,Far South,Shailer Park,37.72,118.00,True
Brisbane,Far South,Slacks Creek,33.98,118.00,True
Brisbane,Far South,Springwood,30.53,115.00,True
Brisbane,Far South,Underwood,27.62,112.00,True
Brisbane,Far South,Woodridge,33.61,120.00,True
Brisbane,Inner Brisbane,Bowen Hills,11.90,60.00,True
Brisbane,Inner Brisbane,Herston,13.68,60.00,True
Brisbane,Inner City,Brisbane CBD,18.19,80.00,True
Brisbane,Inner City,Dutton Park,20.83,85.00,True
Brisbane,Inner City,Fortitude Valley,14.32,80.00,True
Brisbane,Inner City,Highgate Hill,20.99,85.00,True
Brisbane,Inner City,Kangaroo Point,18.36,82.00,True
Brisbane,Inner City,New Farm,14.39,82.00,True
Brisbane,Inner City,Newstead,11.79,80.00,True
Brisbane,Inner City,South Brisbane,17.30,82.00,True
Brisbane,Inner City,Spring Hill,14.52,80.00,True
Brisbane,Inner City,Teneriffe,13.41,82.00,True
Brisbane,Inner City,West End,18.56,82.00,True
Brisbane,Inner City,Woolloongabba,18.28,85.00,True
Brisbane,Inner East,Balmoral,14.11,90.00,True
Brisbane,Inner East,Bulimba,15.10,88.00,True
Brisbane,Inner East,Camp Hill,17.12,90.00,True
Brisbane,Inner East,Cannon Hill,12.17,88.00,True
Brisbane,Inner East,Carina,13.59,92.00,True
Brisbane,Inner East,Carindale,18.69,95.00,True
Brisbane,Inner East,Hawthorne,15.92,88.00,True
Brisbane,Inner East,Morningside,13.73,88.00,True
Brisbane,Inner East,Murarrie,10.71,82.00,True
Brisbane,Inner East,Norman Park,16.02,88.00,True
Brisbane,Inner East,Tingalpa,13.35,90.00,True
Brisbane,Inner North,Albion,10.06,80.00,True
Brisbane,Inner North,Ascot,8.46,75.00,True
Brisbane,Inner North,Brisbane Airport,1.26,0.00,True
Brisbane,Inner North,Chermside,12.12,85.00,True
Brisbane,Inner North,Clayfield,7.41,75.00,True
Brisbane,Inner North,Gordon Park,11.12,82.00,True
Brisbane,Inner North,Hamilton,8.01,75.00,True
Brisbane,Inner North,Hendra,6.08,75.00,True
Brisbane,Inner North,Kedron,11.46,85.00,True
Brisbane,Inner North,Nundah,7.80,80.00,True
Brisbane,Inner North,Stafford,11.83,85.00,True
Brisbane,Inner North,Wavell Heights,10.19,82.00,True
Brisbane,Inner North,Windsor,11.36,82.00,True
Brisbane,Inner South,Annerley,20.35,88.00,True
Brisbane,Inner South,Fairfield,20.28,88.00,True
Brisbane,Inner South,Greenslopes,20.59,88.00,True
Brisbane,Inner South,MacGregor,25.56,95.00,True
Brisbane,Inner South,Moorooka,22.75,90.00,True
Brisbane,Inner South,Nathan,25.91,92.00,True
Brisbane,Inner South,Robertson,28.20,95.00,True
Brisbane,Inner South,Rocklea,26.78,92.00,True
Brisbane,Inner South,Salisbury,26.32,92.00,True
Brisbane,Inner South,Tarragindi,23.89,92.00,True
Brisbane,Inner South,Yeronga,22.08,60.00,True
Brisbane,Inner West,Alderley,14.52,88.00,True
Brisbane,Inner West,Ashgrove,18.35,90.00,True
Brisbane,Inner West,Auchenflower,18.17,85.00,True
Brisbane,Inner West,Bardon,18.75,92.00,True
Brisbane,Inner West,Enoggera,20.21,90.00,True
Brisbane,Inner West,Gaythorne,16.04,92.00,True
Brisbane,Inner West,Kelvin Grove,16.18,85.00,True
Brisbane,Inner West,Keperra,19.81,95.00,True
Brisbane,Inner West,Milton,16.92,82.00,True
Brisbane,Inner West,Mitchelton,17.04,92.00,True
Brisbane,Inner West,Paddington,17.12,85.00,True
Brisbane,Inner West,Red Hill,16.75,85.00,True
Brisbane,Inner West,Rosalie,17.52,85.00,True
Brisbane,Ipswich Corridor,Chelmer,26.74,98.00,True
Brisbane,Ipswich Corridor,Corinda,32.97,100.00,True
Brisbane,Ipswich Corridor,Darra,31.83,100.00,True
