region,zone,name,distance_km,price,is_active
Gold Coast,Airport Surrounds,Banora Point,12.06,65.00,True
Gold Coast,Airport Surrounds,Bilambil Heights,12.85,70.00,True
Gold Coast,Airport Surrounds,Bilinga,3.32,55.00,True
Gold Coast,Airport Surrounds,Coolangatta,5.72,55.00,True
Gold Coast,Airport Surrounds,Currumbin,5.51,62.00,True
Gold Coast,Airport Surrounds,Currumbin Waters,5.80,65.00,True
Gold Coast,Airport Surrounds,Gold Coast Airport,4.21,0.00,True
Gold Coast,Airport Surrounds,Kirra,5.71,55.00,True
Gold Coast,Airport Surrounds,Tugun,2.48,60.00,True
Gold Coast,Airport Surrounds,Tweed Heads,7.69,65.00,True
Gold Coast,Airport Surrounds,Tweed Heads South,8.72,62.00,True
Gold Coast,Airport Surrounds,Tweed Heads West,8.70,68.00,True
Gold Coast,Central Gold Coast,Ashmore,33.42,90.00,True
Gold Coast,Central Gold Coast,Benowa,27.03,90.00,True
Gold Coast,Central Gold Coast,Broadbeach,25.45,85.00,True
Gold Coast,Central Gold Coast,Broadbeach Waters,24.24,85.00,True
Gold Coast,Central Gold Coast,Bundall,25.53,88.00,True
Gold Coast,Central Gold Coast,Carrara,28.09,88.00,True
Gold Coast,Central Gold Coast,Chevron Island,27.14,88.00,True
Gold Coast,Central Gold Coast,Isle of Capri,26.70,88.00,True
Gold Coast,Central Gold Coast,Mermaid Beach,16.19,82.00,True
Gold Coast,Central Gold Coast,Mermaid Waters,20.87,82.00,True
Gold Coast,Central Gold Coast,Surfers Paradise,27.39,88.00,True
Gold Coast,Central Gold Coast,Tallai,24.12,70.00,True
Gold Coast,Far North,Coomera,49.52,108.00,True
Gold Coast,Far North,Helensvale,41.01,105.00,True
Gold Coast,Far North,Hope Island,46.15,105.00,True
Gold Coast,Far North,Jacobs Well,60.98,125.00,True
Gold Coast,Far North,Maudsland,41.38,110.00,True
Gold Coast,Far North,Ormeau,55.63,118.00,True
Gold Coast,Far North,Ormeau Hills,57.85,118.00,True
Gold Coast,Far North,Oxenford,40.98,108.00,True
Gold Coast,Far North,Pacific Pines,37.72,105.00,True
Gold Coast,Far North,Pimpama,56.22,112.00,True
Gold Coast,Far North,Sanctuary Cove,48.89,108.00,True
Gold Coast,Far North,Upper Coomera,46.37,110.00,True
Gold Coast,Far North,Yatala,61.37,122.00,True
Gold Coast,Far Northern Fringe,Cedar Creek,72.94,205.00,True
Gold Coast,Far Northern Fringe,Gilberton,64.64,190.00,True
Gold Coast,Far Northern Fringe,Kingsholme,58.05,180.00,True
Gold Coast,Far Northern Fringe,Luscombe,70.04,190.00,True
Gold Coast,Far Northern Fringe,Natural Bridge,58.39,185.00,True
Gold Coast,Far Northern Fringe,Norwell,56.91,170.00,True
Gold Coast,Far Northern Fringe,Stapylton,63.05,190.00,True
Gold Coast,Far Northern Fringe,Steiglitz,66.46,190.00,True
Gold Coast,Far Northern Fringe,Woongoolba,61.73,185.00,True
Gold Coast,Hinterland,Bonogin,22.94,88.00,True
Gold Coast,Hinterland,Canungra,40.01,120.00,True
Gold Coast,Hinterland,Clear Island Waters,22.41,90.00,True
Gold Coast,Hinterland,Gaven,34.07,92.00,True
Gold Coast,Hinterland,Gilston,30.02,95.00,True
Gold Coast,Hinterland,Merrimac,23.05,88.00,True
Gold Coast,Hinterland,Mount Nathan,40.41,108.00,True
Gold Coast,Hinterland,Mudgeeraba,19.51,80.00,True
