region,zone,name,distance_km,price,is_active
Melbourne,Central Melbourne,Brunswick,23.63,75.00,True
Melbourne,Central Melbourne,Carlton,24.93,75.00,True
Melbourne,Central Melbourne,Coburg,19.47,72.00,True
Melbourne,Central Melbourne,Collingwood,27.21,75.00,True
Melbourne,Central Melbourne,Docklands,26.72,60.00,True
Melbourne,Central Melbourne,Fitzroy,26.39,76.00,True
Melbourne,Central Melbourne,Melbourne CBD,27.06,75.00,True
Melbourne,Central Melbourne,Richmond,34.70,78.00,True
Melbourne,Central Melbourne,Southbank,31.10,75.00,True
Melbourne,Central Melbourne,Station Pier Cruise Terminal,30.96,50.00,True
Melbourne,Central Melbourne,Webb Dock Cruise Terminal,29.53,50.00,True
Melbourne,Eastern Suburbs,Bayswater,57.72,102.00,True
Melbourne,Eastern Suburbs,Blackburn,45.45,95.00,True
Melbourne,Eastern Suburbs,Blackburn North,43.72,95.00,True
Melbourne,Eastern Suburbs,Blackburn South,55.48,100.00,True
Melbourne,Eastern Suburbs,Boronia,58.66,102.00,True
Melbourne,Eastern Suburbs,Box Hill,42.59,92.00,True
Melbourne,Eastern Suburbs,Burwood East,53.55,95.00,True
Melbourne,Eastern Suburbs,Croydon,55.17,95.00,True
Melbourne,Eastern Suburbs,Croydon North,57.42,120.00,True
Melbourne,Eastern Suburbs,Croydon South,53.91,120.00,True
Melbourne,Eastern Suburbs,Diamond Creek,34.49,98.00,True
Melbourne,Eastern Suburbs,Doncaster,39.65,90.00,True
Melbourne,Eastern Suburbs,Eltham,36.44,92.00,True
Melbourne,Eastern Suburbs,Forest Hill,49.08,105.00,True
Melbourne,Eastern Suburbs,Glen Waverley,52.98,90.00,True
Melbourne,Eastern Suburbs,Greensborough,30.62,90.00,True
Melbourne,Eastern Suburbs,Heathmont,53.30,120.00,True
Melbourne,Eastern Suburbs,Lilydale,63.74,110.00,True
Melbourne,Eastern Suburbs,Mitcham,47.95,110.00,True
Melbourne,Eastern Suburbs,Mont Albert,42.39,95.00,True
Melbourne,Eastern Suburbs,Mooroolbark,60.33,105.00,True
Melbourne,Eastern Suburbs,Mount Waverley,49.97,95.00,True
Melbourne,Eastern Suburbs,Notting Hill,50.43,100.00,True
Melbourne,Eastern Suburbs,Nunawading,46.46,100.00,True
Melbourne,Eastern Suburbs,Ringwood,50.41,95.00,True
Melbourne,Eastern Suburbs,Ringwood East,51.91,125.00,True
Melbourne,Eastern Suburbs,Vermont,50.24,115.00,True
Melbourne,Eastern Suburbs,Wantirna,53.39,110.00,True
Melbourne,Eastern Suburbs,Wantirna South,59.94,115.00,True
Melbourne,Inner East,Balwyn,38.37,85.00,True
Melbourne,Inner East,Balwyn North,36.50,85.00,True
Melbourne,Inner East,Burwood,43.37,85.00,True
Melbourne,Inner East,Camberwell,41.92,90.00,True
Melbourne,Inner East,Caulfield,40.19,90.00,True
Melbourne,Inner East,Caulfield North,37.99,85.00,True
Melbourne,Inner East,Caulfield South,40.45,95.00,True
Melbourne,Inner East,Glen Iris,39.93,85.00,True
Melbourne,Inner East,Hawthorn,36.66,85.00,True
Melbourne,Inner East,Kooyong,38.84,85.00,True
Melbourne,Inner East,Malvern,38.36,80.00,True
Melbourne,Inner East,Malvern East,42.09,90.00,True
